Protocolo,Chunk_Size_S,Condicao_Rede,Repeticao,Startup_Delay_S,Stall_Ratio_Pct,Resolucao_Media_P
Apple-HLS,2,Oscilante,1,1.594,7.59,696.0
Apple-HLS,2,Oscilante,2,1.594,5.62,696.0
Apple-HLS,2,Oscilante,3,1.594,6.8,696.0
Apple-HLS,2,Oscilante,4,1.594,12.03,696.0
Apple-HLS,2,Oscilante,5,2.241,8.94,696.0
Apple-HLS,2,Oscilante,6,5.399,5.32,696.0
Apple-HLS,2,Oscilante,7,1.594,5.08,696.0
Apple-HLS,2,Oscilante,8,1.596,4.64,696.0
Apple-HLS,2,Oscilante,9,2.168,4.39,696.0
Apple-HLS,2,Oscilante,10,1.594,5.51,696.0
Apple-HLS,2,Oscilante,11,1.594,6.65,696.0
Apple-HLS,2,Oscilante,12,1.596,8.71,696.0
Apple-HLS,2,Oscilante,13,2.128,9.03,696.0
Apple-HLS,2,Oscilante,14,1.594,5.17,696.0
Apple-HLS,2,Oscilante,15,2.598,5.17,696.0
Apple-HLS,6,Oscilante,1,4.233,10.0,648.0
Apple-HLS,6,Oscilante,2,4.228,10.0,648.0
Apple-HLS,6,Oscilante,3,4.228,10.0,648.0
Apple-HLS,6,Oscilante,4,4.228,10.0,648.0
Apple-HLS,6,Oscilante,5,4.228,10.0,648.0
Apple-HLS,6,Oscilante,6,4.228,17.34,648.0
Apple-HLS,6,Oscilante,7,4.435,10.0,648.0
Apple-HLS,6,Oscilante,8,4.228,10.0,648.0
Apple-HLS,6,Oscilante,9,4.227,10.0,648.0
Apple-HLS,6,Oscilante,10,4.17,10.0,648.0
Apple-HLS,6,Oscilante,11,4.228,10.0,648.0
Apple-HLS,6,Oscilante,12,4.518,10.0,648.0
Apple-HLS,6,Oscilante,13,4.234,10.0,648.0
Apple-HLS,6,Oscilante,14,5.268,10.0,648.0
Apple-HLS,6,Oscilante,15,4.235,10.0,648.0
